,DateTime,Comp,Saison,Round,Day,Team Home,Team Away,Result,Predicted_Result,Prediction_Probability,MatchID
0,2024-01-14 20:45:00,Ligue 1,2023-2024,18,Sun,Lens,Paris Saint Germain,,W_Home,0.39,2024-01-14 20:45:00-Lens-vs-Paris Saint Germain
1,2024-01-14 17:05:00,Ligue 1,2023-2024,18,Sun,Le Havre,Lyon,,W_Away,0.48,2024-01-14 17:05:00-Le Havre-vs-Lyon
2,2024-01-14 15:00:00,Ligue 1,2023-2024,18,Sun,Nantes,Clermont Foot,,W_Home,0.43,2024-01-14 15:00:00-Clermont Foot-vs-Nantes
3,2024-01-14 15:00:00,Ligue 1,2023-2024,18,Sun,Metz,Toulouse,,W_Away,0.43,2024-01-14 15:00:00-Metz-vs-Toulouse
4,2024-01-14 15:00:00,Ligue 1,2023-2024,18,Sun,Brest,Montpellier,,W_Home,0.56,2024-01-14 15:00:00-Brest-vs-Montpellier
5,2024-01-14 13:00:00,Ligue 1,2023-2024,18,Sun,Lille,Lorient,,W_Home,0.62,2024-01-14 13:00:00-Lille-vs-Lorient
6,2024-01-13 21:00:00,Ligue 1,2023-2024,18,Sat,Rennes,Nice,,W_Away,0.37,2024-01-13 21:00:00-Nice-vs-Rennes
7,2024-01-13 17:00:00,Ligue 1,2023-2024,18,Sat,Monaco,Reims,,W_Home,0.62,2024-01-13 17:00:00-Monaco-vs-Reims
8,2024-01-12 21:00:00,Ligue 1,2023-2024,18,Fri,Marseille,Strasbourg,,W_Home,0.44,2024-01-12 21:00:00-Marseille-vs-Strasbourg
9,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Toulouse,Monaco,W_Away,W_Away,0.55,2023-12-20 21:00:00-Monaco-vs-Toulouse
10,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Clermont Foot,Rennes,W_Away,W_Away,0.47,2023-12-20 21:00:00-Clermont Foot-vs-Rennes
11,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Lyon,Nantes,W_Home,W_Home,0.58,2023-12-20 21:00:00-Lyon-vs-Nantes
12,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Montpellier,Marseille,D,D,0.44,2023-12-20 21:00:00-Marseille-vs-Montpellier
13,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Strasbourg,Lille,W_Home,D,0.42,2023-12-20 21:00:00-Lille-vs-Strasbourg
14,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Reims,Le Havre,W_Home,D,0.44,2023-12-20 21:00:00-Le Havre-vs-Reims
15,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Brest,Lorient,W_Home,W_Home,0.49,2023-12-20 21:00:00-Brest-vs-Lorient
16,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Nice,Lens,W_Home,W_Home,0.45,2023-12-20 21:00:00-Lens-vs-Nice
17,2023-12-20 21:00:00,Ligue 1,2023-2024,17,Wed,Paris Saint Germain,Metz,W_Home,W_Home,0.72,2023-12-20 21:00:00-Metz-vs-Paris Saint Germain
18,2023-12-17 20:45:00,Ligue 1,2023-2024,16,Sun,Lille,Paris Saint Germain,D,W_Away,0.53,2023-12-17 20:45:00-Lille-vs-Paris Saint Germain
19,2023-12-17 17:05:00,Ligue 1,2023-2024,16,Sun,Marseille,Clermont Foot,W_Home,W_Home,0.44,2023-12-17 17:05:00-Clermont Foot-vs-Marseille
20,2023-12-17 15:00:00,Ligue 1,2023-2024,16,Sun,Lorient,Strasbourg,W_Away,D,0.4,2023-12-17 15:00:00-Lorient-vs-Strasbourg
21,2023-12-17 15:00:00,Ligue 1,2023-2024,16,Sun,Toulouse,Rennes,D,W_Away,0.46,2023-12-17 15:00:00-Rennes-vs-Toulouse
22,2023-12-17 15:00:00,Ligue 1,2023-2024,16,Sun,Metz,Montpellier,W_Away,W_Home,0.41,2023-12-17 15:00:00-Metz-vs-Montpellier
23,2023-12-17 13:00:00,Ligue 1,2023-2024,16,Sun,Nantes,Brest,W_Away,W_Away,0.4,2023-12-17 13:00:00-Brest-vs-Nantes
